X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.031875301674,38.9203325561297,18095468,2018/06/13 01:15:34+00,MIDNIGHT,OTHERS,THEFT/OTHER,2300 - 2398 BLOCK OF 14TH STREET NW,397236,139162,1,1B,3,304,Cluster 2,003700 3,003700,Precinct 23,38.9203247650858,-77.0318730069687,,2018/06/12 20:20:28+00,2018/06/12 20:25:53+00,440980706,18095468-01
-76.9658401851943,38.8603181109559,18095477,2018/06/12 22:44:53+00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,402965,132500,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,38.8603103295591,-76.9658379147128,,2018/06/12 20:43:13+00,2018/06/12 21:36:28+00,440980707,18095477-01
-76.9219026111241,38.896474714872,18095478,2018/06/12 22:01:49+00,EVENING,OTHERS,THEFT F/AUTO,500 - 599 BLOCK OF 55TH STREET NE,406775,136516,7,7C,6,608,Cluster 31,007807 2,007807,Precinct 95,38.896466924544,-76.9219003521289,,2018/06/12 20:37:20+00,2018/06/12 21:14:52+00,440980708,18095478-01
-76.981253630845,38.9144889932462,18095480,2018/06/12 21:17:30+00,EVENING,OTHERS,THEFT F/AUTO,2032 - 2099 BLOCK OF WEST VIRGINIA AVENUE NE,401626,138513,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9144812014927,-76.9812513522629,,2018/06/12 18:00:49+00,2018/06/12 19:00:14+00,440980709,18095480-01
-77.0572645452779,38.9308535980563,18095484,2018/06/12 21:18:35+00,EVENING,OTHERS,THEFT/OTHER,2700 - 2799 BLOCK OF CORTLAND PLACE NW,395035,140331,3,3C,2,204,Cluster 15,000502 2,000502,Precinct 26,38.9308458058404,-77.0572622420222,,2018/06/12 18:45:32+00,2018/06/12 19:30:41+00,440980710,18095484-01
-76.9431387154243,38.8792359310606,18095486,2018/06/12 21:30:28+00,EVENING,OTHERS,THEFT/OTHER,4200 - 4299 BLOCK OF GORMAN STREET SE,404934,134601,7,7E,6,605,Cluster 33,007707 2,007707,Precinct 106,38.879228145001,-76.9431364508625,,2018/06/10 20:00:39+00,2018/06/12 08:00:59+00,440980711,18095486-01
-77.0005444291805,38.9418307274426,18095490,2018/06/12 21:36:14+00,EVENING,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF HAWAII AVENUE NE,399953,141548,5,5A,4,405,Cluster 19,009501 3,009501,Precinct 44,38.9418229308973,-77.0005421429186,,2018/06/12 20:50:32+00,1970/01/01 00:00:00+00,440980712,18095490-01
-77.0020429085153,38.9046893997779,18095492,2018/06/12 21:37:44+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 3RD STREET NE,399823,137425,6,6C,5,501,Cluster 25,010600 2,010600,Precinct 83,38.904681610775,-77.0020406240563,,2018/06/08 22:30:32+00,2018/06/12 19:30:02+00,440980713,18095492-01
-77.0185178214505,38.9492430794885,18095504,2018/06/12 21:54:24+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,400  - 499 BLOCK OF DELAFIELD PLACE NW,398395,142371,4,4C,4,407,Cluster 18,002202 2,002202,Precinct 55,38.9492352821208,-77.0185155291362,,2018/06/12 12:00:20+00,2018/06/12 16:05:53+00,440980714,18095504-01
-76.9902493645206,38.9004821086321,18095523,2018/06/12 23:44:23+00,MIDNIGHT,OTHERS,THEFT F/AUTO,800 - 817 BLOCK OF 12TH STREET NE,400846,136958,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.9004743200384,-76.9902470839913,,2018/06/12 22:27:38+00,2018/06/12 22:57:41+00,440980715,18095523-01
